run_kind,policy_step,expected_target_present_for_audit,raw_sensor_detection_count,accepted_candidate_count,teammate_rejected_count,fused_candidate_count,fused_candidates,shared_found_this_step,new_found_this_step,run_found_mask_after,run_find_times_after,global_found_mask_after,global_find_times_after,shared_target_count_after,outcome,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,1,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.965628212478165, -8.469012968085591, 0.0], ""positions"": [[33.965628212478165, -8.469012968085591, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.973245307482035}]",True,True,[true],[1],[true],[1],1,true_positive,False,False,False,False
target,2,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [37.18506309574579, -10.823473199141283, 0.0], ""positions"": [[37.18506309574579, -10.823473199141283, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 12.466057018595981}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
target,3,True,2,2,0,1,"[{""candidate_count"": 2, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [40.363954246058654, 4.810430037320117, 0.0], ""positions"": [[39.619321092646175, 6.0, 0.0], [41.108587399471126, 3.6208600746402335, 0.0]], ""reporter_usv_ids"": [""sv1""], ""target_position_error_m"": 10.527291972118544}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
target,4,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": false, ""fused_world_position"": [43.76037226817618, -12.902470945982895, 0.0], ""positions"": [[43.76037226817618, -12.902470945982895, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 18.146648641949632}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,1,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [33.95683649329315, -8.468243792324, 0.0], ""positions"": [[33.95683649329315, -8.468243792324, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 8.969617325967931}]",True,True,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,2,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [37.181225582319186, -10.822796541985344, 0.0], ""positions"": [[37.181225582319186, -10.822796541985344, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 12.463565889773562}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,3,True,2,2,0,1,"[{""candidate_count"": 2, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [40.371782095058904, 4.809580236910941, 0.0], ""positions"": [[39.615550264399104, 6.0, 0.0], [41.128013925718705, 3.6191604738218817, 0.0]], ""reporter_usv_ids"": [""sv1""], ""target_position_error_m"": 10.533867366383108}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
coexist,4,True,1,1,0,1,"[{""candidate_count"": 1, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": false, ""fused_world_position"": [43.75282597265829, -12.90044892219303, 0.0], ""positions"": [[43.75282597265829, -12.90044892219303, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 18.139904979988714}]",True,False,[true],[1],[true],[1],1,true_positive,False,False,False,False
teammate_only,1,False,0,0,0,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
teammate_only,2,False,0,0,0,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
teammate_only,3,False,0,0,0,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
teammate_only,4,False,0,0,0,0,[],False,False,[false],[null],[true],[1],1,true_negative,False,False,False,False
